This file was created using the 202602 CRSP database.
It contains value- and equal-weighted returns for  5 industry portfolios.

The portfolios are constructed at the end of June.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Daily
,Cnsmr,Manuf,HiTec,Hlth,Other
19260701,  -0.09,   0.22,  -0.11,   0.97,   0.20
19260702,   0.46,   0.69,   0.31,   0.13,   0.10
19260706,   0.27,   0.28,   0.32,   0.23,  -0.18
19260707,  -0.01,   0.11,   0.12,   0.33,   0.16
19260708,   0.24,   0.09,   0.38,   0.91,   0.39
19260709,  -0.43,  -1.24,  -0.24,  -0.28,  -0.25
19260710,   0.80,   0.69,   0.22,  -0.17,   0.55
19260712,   0.43,  -0.36,   0.09,   0.22,   0.37
19260713,   0.47,   0.51,   0.80,   0.57,   0.28
19260714,   0.10,   0.03,   0.45,   0.09,  -0.23
19260715,  -0.42,  -0.25,  -0.68,  -0.45,  -0.59
19260716,   0.82,   0.66,   0.40,   0.23,   0.06
19260717,   0.83,   0.22,   0.37,   0.38,   0.03
19260719,   0.28,  -0.03,   0.16,  -0.78,  -0.28
19260720,  -0.67,  -0.55,  -0.61,  -0.57,  -0.39
19260721,  -0.58,  -0.73,  -0.53,  -0.52,  -0.34
19260722,  -0.78,  -0.75,  -0.47,  -0.68,  -0.78
19260723,  -0.15,   0.03,  -0.07,   0.53,   0.10
19260724,  -0.23,  -0.09,  -0.58,  -0.33,   0.15
19260726,   0.60,   0.46,   0.71,   0.44,   0.44
19260727,   0.43,   0.62,   0.22,  -0.13,   0.30
19260728,   1.53,   1.24,   0.68,   0.11,   0.63
19260729,   0.90,   0.51,  -0.09,   0.48,  -0.25
19260730,   0.14,   0.05,   0.06,   0.10,   0.53
19260731,   0.39,   0.35,  -0.07,   0.04,   1.11
19260802,   1.34,   0.88,   0.60,   0.72,   0.40
19260803,   1.42,   0.36,  -0.19,   1.06,   0.10
19260804,  -0.89,  -0.13,   0.23,  -0.44,  -0.48
19260805,  -0.37,  -0.01,   0.32,  -0.08,  -0.10
19260806,   0.92,   0.51,   0.01,   0.87,   1.13
19260807,   1.04,   0.40,   0.23,  -0.04,   0.10
19260809,   0.75,  -0.17,   0.30,   0.18,   0.27
19260810,  -2.03,  -1.36,  -0.59,  -1.01,  -1.18
19260811,  -0.55,  -0.63,  -0.31,   0.05,  -0.60
19260812,   0.69,   0.62,   0.79,  -1.02,   1.57
19260813,   0.19,   0.67,   1.08,  -0.68,   0.65
19260814,   0.77,   0.98,   0.73,   0.58,   0.05
19260816,  -0.19,   0.18,  -0.25,   1.16,   0.35
19260817,  -1.12,  -1.08,  -0.40,  -0.19,  -0.82
19260818,   0.23,   0.11,   0.26,   0.79,   0.61
19260819,  -0.99,  -0.50,  -0.11,  -0.10,  -0.59
19260820,  -0.13,  -0.22,  -0.32,  -0.04,  -0.12
19260821,   0.27,   0.43,   0.21,   0.71,   0.24
19260823,   1.02,   0.25,   0.02,   0.27,   0.58
19260824,  -0.87,  -0.97,  -0.53,  -0.30,  -0.72
19260825,  -0.30,  -0.46,  -0.31,   0.02,  -0.04
19260826,   0.58,   0.54,   0.09,   0.03,   0.68
